# Program:featureCounts v1.6.4; Command:"featureCounts" "-M" "--fraction" "-t" "gene" "-g" "ID" "-s" "0" "-a" "/pub37/alexp/data/TRADIS/v2_WY_macro/P125109_v3_2018.tradis.gff" "-o" "P125109_input_LB_2.deseq.fc.tsv" "P125109_input_LB_2.deseq.bam" 
Geneid	Chr	Start	End	Strand	Length	P125109_input_LB_2.deseq.bam
P125109_00001	P125109_v1_chr	169	255	+	87	100
P125109_00002	P125109_v1_chr	337	2799	+	2463	769
P125109_00003	P125109_v1_chr	2801	3730	+	930	146
P125109_00004	P125109_v1_chr	3734	5020	+	1287	456
P125109_00005	P125109_v1_chr	5114	5887	-	774	357
P125109_00006	P125109_v1_chr	5966	7396	-	1431	632
P125109_00007	P125109_v1_chr	7665	8618	+	954	372
P125109_00008	P125109_v1_chr	8729	9319	+	591	642
P125109_00009	P125109_v1_chr	9376	9942	-	567	451
P125109_00010	P125109_v1_chr	10092	10805	-	714	351
P125109_00011	P125109_v1_chr	10841	11245	-	405	51
P125109_00012	P125109_v1_chr	11594	13510	+	1917	21
P125109_00013	P125109_v1_chr	13508	13592	+	85	40
P125109_00014	P125109_v1_chr	13596	14735	+	1140	193
P125109_00015	P125109_v1_chr	14682	14822	-	141	32
P125109_00016	P125109_v1_chr	14721	14785	+	65	0
P125109_00017	P125109_v1_chr	15016	15963	+	948	277
P125109_00018	P125109_v1_chr	16090	16434	+	345	26
P125109_00019	P125109_v1_chr	16447	16495	-	49	50
P125109_00020	P125109_v1_chr	16495	17028	-	534	417
P125109_00021	P125109_v1_chr	17027	17113	+	87	0
P125109_00022	P125109_v1_chr	17045	17488	-	444	35
P125109_00023	P125109_v1_chr	17869	19968	+	2100	672
P125109_00024	P125109_v1_chr	20060	23056	+	2997	1607
P125109_00025	P125109_v1_chr	23337	24041	+	705	693
P125109_00026	P125109_v1_chr	24471	25013	+	543	1358
P125109_00027	P125109_v1_chr	25114	25800	+	687	528
P125109_00028	P125109_v1_chr	25805	28426	+	2622	1178
P125109_00029	P125109_v1_chr	28427	29434	+	1008	681
P125109_00030	P125109_v1_chr	29435	29980	+	546	139
P125109_00031	P125109_v1_chr	29996	30514	+	519	197
P125109_00032	P125109_v1_chr	30480	31211	+	732	364
P125109_00033	P125109_v1_chr	31275	32120	+	846	343
P125109_00034	P125109_v1_chr	32159	32446	+	288	185
P125109_00035	P125109_v1_chr	32546	32995	-	450	30
P125109_00036	P125109_v1_chr	33357	34361	+	1005	21
P125109_00037	P125109_v1_chr	34369	34809	-	441	2
P125109_00038	P125109_v1_chr	35332	37050	+	1719	3376
P125109_00039	P125109_v1_chr	37096	38658	-	1563	1369
P125109_00040	P125109_v1_chr	38766	39527	-	762	300
P125109_00041	P125109_v1_chr	40121	41614	+	1494	871
P125109_00042	P125109_v1_chr	41619	41698	+	80	18
P125109_00043	P125109_v1_chr	41713	42903	+	1191	605
P125109_00044	P125109_v1_chr	42928	44175	+	1248	2158
P125109_00045	P125109_v1_chr	44302	46017	+	1716	2131
P125109_00046	P125109_v1_chr	46180	47346	+	1167	295
P125109_00047	P125109_v1_chr	47414	48307	+	894	255
P125109_00048	P125109_v1_chr	48362	50401	-	2040	1099
P125109_00049	P125109_v1_chr	50441	51814	-	1374	948
P125109_00050	P125109_v1_chr	52270	52533	-	264	0
P125109_00051	P125109_v1_chr	52309	52518	+	210	0
P125109_00052	P125109_v1_chr	52639	52854	+	216	70
P125109_00053	P125109_v1_chr	52862	53800	+	939	0
P125109_00054	P125109_v1_chr	53845	56679	+	2835	13
P125109_00055	P125109_v1_chr	56679	57179	+	501	1
P125109_00056	P125109_v1_chr	57334	57783	+	450	73
P125109_00057	P125109_v1_chr	57786	58736	+	951	1
P125109_00058	P125109_v1_chr	58936	59931	+	996	460
P125109_00059	P125109_v1_chr	59897	60139	+	243	0
P125109_00060	P125109_v1_chr	60155	61075	+	921	253
P125109_00061	P125109_v1_chr	61097	61783	-	687	1099
P125109_00062	P125109_v1_chr	61785	63443	-	1659	3832
P125109_00063	P125109_v1_chr	61798	62025	+	228	0
P125109_00064	P125109_v1_chr	63539	64840	-	1302	684
P125109_00065	P125109_v1_chr	64853	66622	-	1770	771
P125109_00066	P125109_v1_chr	66639	66878	-	240	132
P125109_00067	P125109_v1_chr	66897	67036	-	140	0
P125109_00068	P125109_v1_chr	66901	67033	+	133	0
P125109_00069	P125109_v1_chr	67037	68377	-	1341	1144
P125109_00070	P125109_v1_chr	68697	69665	+	969	398
P125109_00071	P125109_v1_chr	69695	69988	+	294	127
P125109_00072	P125109_v1_chr	69985	70854	+	870	413
P125109_00073	P125109_v1_chr	70865	72385	+	1521	367
P125109_00074	P125109_v1_chr	72385	72936	+	552	201
P125109_00075	P125109_v1_chr	72914	73822	+	909	273
P125109_00076	P125109_v1_chr	74002	74823	+	822	0
P125109_00077	P125109_v1_chr	74829	74906	+	78	57
P125109_00078	P125109_v1_chr	74876	74989	-	114	3
P125109_00079	P125109_v1_chr	75685	76833	+	1149	547
P125109_00080	P125109_v1_chr	76852	80079	+	3228	1481
P125109_00081	P125109_v1_chr	80353	80748	+	396	576
P125109_00082	P125109_v1_chr	80826	81422	-	597	359
P125109_00083	P125109_v1_chr	81532	82317	-	786	472
P125109_00084	P125109_v1_chr	82371	83924	-	1554	1173
P125109_00085	P125109_v1_chr	83987	85204	-	1218	687
P125109_00086	P125109_v1_chr	85316	86458	-	1143	432
P125109_00087	P125109_v1_chr	86493	88010	-	1518	1093
P125109_00088	P125109_v1_chr	88491	89261	+	771	365
P125109_00089	P125109_v1_chr	89277	90218	+	942	321
P125109_00090	P125109_v1_chr	90268	91554	+	1287	205
P125109_00091	P125109_v1_chr	91551	91838	+	288	41
P125109_00092	P125109_v1_chr	91985	93325	+	1341	825
P125109_00093	P125109_v1_chr	93414	93644	+	231	313
P125109_00094	P125109_v1_chr	93930	94352	+	423	910
P125109_00095	P125109_v1_chr	94455	94543	-	89	205
P125109_00096	P125109_v1_chr	94576	94866	-	291	507
P125109_00097	P125109_v1_chr	94904	94990	+	87	156
P125109_00098	P125109_v1_chr	95076	95270	+	195	140
P125109_00099	P125109_v1_chr	95764	97653	+	1890	1332
P125109_00100	P125109_v1_chr	98060	98590	+	531	288
P125109_00101	P125109_v1_chr	98583	100445	+	1863	335
P125109_00102	P125109_v1_chr	100644	101123	+	480	0
P125109_00103	P125109_v1_chr	101124	101285	-	162	91
P125109_00104	P125109_v1_chr	101229	102077	-	849	25
P125109_00105	P125109_v1_chr	102088	102465	-	378	321
P125109_00106	P125109_v1_chr	102468	103289	-	822	91
P125109_00107	P125109_v1_chr	103286	104275	-	990	294
P125109_00108	P125109_v1_chr	104275	105561	-	1287	439
P125109_00109	P125109_v1_chr	105615	107975	-	2361	35
P125109_00110	P125109_v1_chr	108229	109041	+	813	253
P125109_00111	P125109_v1_chr	109045	109124	-	80	4
P125109_00112	P125109_v1_chr	109136	109795	-	660	262
P125109_00113	P125109_v1_chr	109807	112713	-	2907	1236
P125109_00114	P125109_v1_chr	112887	115238	-	2352	598
P125109_00115	P125109_v1_chr	115282	115902	-	621	784
P125109_00116	P125109_v1_chr	116420	116839	+	420	223
P125109_00117	P125109_v1_chr	116845	117540	-	696	203
P125109_00118	P125109_v1_chr	117681	119183	-	1503	575
P125109_00119	P125109_v1_chr	119194	120903	-	1710	642
P125109_00120	P125109_v1_chr	121243	122088	+	846	381
P125109_00121	P125109_v1_chr	122207	122974	+	768	412
P125109_00122	P125109_v1_chr	123013	123720	-	708	167
P125109_00123	P125109_v1_chr	123704	125314	-	1611	758
P125109_00124	P125109_v1_chr	125290	126273	-	984	278
P125109_00125	P125109_v1_chr	126313	126402	-	90	12
P125109_00126	P125109_v1_chr	126451	128109	-	1659	417
P125109_00127	P125109_v1_chr	128177	128413	+	237	151
P125109_00128	P125109_v1_chr	128202	128324	+	123	0
P125109_00129	P125109_v1_chr	128644	128925	+	282	145
P125109_00130	P125109_v1_chr	128979	129584	-	606	346
P125109_00131	P125109_v1_chr	129595	130995	-	1401	846
P125109_00132	P125109_v1_chr	130998	132089	-	1092	299
P125109_00133	P125109_v1_chr	132089	133660	-	1572	902
P125109_00134	P125109_v1_chr	133748	133834	-	87	292
P125109_00135	P125109_v1_chr	134491	135435	+	945	1557
P125109_00136	P125109_v1_chr	135757	137481	+	1725	1129
P125109_00137	P125109_v1_chr	137481	137975	+	495	302
P125109_00138	P125109_v1_chr	138019	138193	-	175	79
P125109_00139	P125109_v1_chr	138259	139263	+	1005	156
P125109_00140	P125109_v1_chr	139869	140327	+	459	189
P125109_00141	P125109_v1_chr	140329	141270	+	942	241
P125109_00142	P125109_v1_chr	141267	141632	+	366	28
P125109_00143	P125109_v1_chr	141648	143414	+	1767	18
P125109_00144	P125109_v1_chr	143401	144888	+	1488	0
P125109_00145	P125109_v1_chr	144885	146243	+	1359	55
P125109_00146	P125109_v1_chr	146237	147319	+	1083	0
P125109_00147	P125109_v1_chr	147322	148638	+	1317	0
P125109_00148	P125109_v1_chr	148638	149882	+	1245	32
P125109_00149	P125109_v1_chr	149879	150946	+	1068	0
P125109_00150	P125109_v1_chr	151065	152540	+	1476	13
P125109_00151	P125109_v1_chr	152533	153453	+	921	151
P125109_00152	P125109_v1_chr	153455	154285	+	831	102
P125109_00153	P125109_v1_chr	154282	155544	+	1263	0
P125109_00154	P125109_v1_chr	155605	156756	+	1152	1
P125109_00155	P125109_v1_chr	156857	157774	+	918	0
P125109_00156	P125109_v1_chr	158053	158550	+	498	0
P125109_00157	P125109_v1_chr	158612	161317	+	2706	4
P125109_00158	P125109_v1_chr	161469	161864	+	396	71
P125109_00159	P125109_v1_chr	161898	162188	-	291	76
P125109_00160	P125109_v1_chr	162293	162886	-	594	396
P125109_00161	P125109_v1_chr	162990	163913	+	924	77
P125109_00162	P125109_v1_chr	163910	164101	-	192	11
P125109_00163	P125109_v1_chr	164111	164854	-	744	191
P125109_00164	P125109_v1_chr	164854	165474	-	621	18
P125109_00165	P125109_v1_chr	165700	166743	+	1044	616
P125109_00166	P125109_v1_chr	166774	167976	-	1203	795
P125109_00167	P125109_v1_chr	167966	169351	-	1386	876
P125109_00168	P125109_v1_chr	169361	169798	-	438	232
P125109_00169	P125109_v1_chr	170020	170913	-	894	379
P125109_00170	P125109_v1_chr	171001	171564	+	564	265
P125109_00171	P125109_v1_chr	171561	172415	+	855	397
P125109_00172	P125109_v1_chr	172507	173457	-	951	317
P125109_00173	P125109_v1_chr	173457	174863	-	1407	340
P125109_00174	P125109_v1_chr	175027	176397	-	1371	616
P125109_00175	P125109_v1_chr	176963	177727	+	765	313
P125109_00176	P125109_v1_chr	177729	177885	-	157	0
P125109_00177	P125109_v1_chr	177887	180550	+	2664	158
P125109_00178	P125109_v1_chr	180565	182448	+	1884	26
P125109_00179	P125109_v1_chr	182650	184074	+	1425	1
P125109_00180	P125109_v1_chr	184363	184647	+	285	53
P125109_00181	P125109_v1_chr	184685	185476	-	792	161
P125109_00182	P125109_v1_chr	185489	187111	-	1623	419
P125109_00183	P125109_v1_chr	187500	190097	+	2598	526
P125109_00184	P125109_v1_chr	190137	190601	-	465	256
P125109_00185	P125109_v1_chr	191019	191342	-	324	865
P125109_00186	P125109_v1_chr	191613	191975	+	363	258
P125109_00187	P125109_v1_chr	192210	193163	+	954	141
P125109_00188	P125109_v1_chr	193160	194431	+	1272	157
P125109_00189	P125109_v1_chr	194421	195404	+	984	308
P125109_00190	P125109_v1_chr	195414	196181	+	768	394
P125109_00191	P125109_v1_chr	196211	197005	-	795	344
P125109_00192	P125109_v1_chr	197026	197886	-	861	213
P125109_00193	P125109_v1_chr	197993	198379	-	387	52
P125109_00194	P125109_v1_chr	198542	200152	+	1611	731
P125109_00195	P125109_v1_chr	200230	202620	-	2391	1134
P125109_00196	P125109_v1_chr	202826	203362	+	537	82
P125109_00197	P125109_v1_chr	203420	204082	-	663	0
P125109_00198	P125109_v1_chr	204191	205117	+	927	331
P125109_00199	P125109_v1_chr	205114	205884	+	771	440
P125109_00200	P125109_v1_chr	206004	207083	-	1080	645
P125109_00201	P125109_v1_chr	207092	209650	-	2559	1237
P125109_00202	P125109_v1_chr	209665	210348	-	684	428
P125109_00203	P125109_v1_chr	210396	210935	-	540	1051
P125109_00204	P125109_v1_chr	211305	211745	+	441	567
P125109_00205	P125109_v1_chr	211807	213036	+	1230	674
P125109_00206	P125109_v1_chr	211884	211987	-	104	0
P125109_00207	P125109_v1_chr	213043	213423	-	381	188
P125109_00208	P125109_v1_chr	213518	214372	-	855	367
P125109_00209	P125109_v1_chr	214498	215289	-	792	172
P125109_00210	P125109_v1_chr	215410	215889	-	480	37
P125109_00211	P125109_v1_chr	215886	217304	-	1419	573
P125109_00212	P125109_v1_chr	217445	218386	-	942	512
P125109_00213	P125109_v1_chr	218410	218865	-	456	85
P125109_00214	P125109_v1_chr	219042	219746	-	705	797
P125109_00215	P125109_v1_chr	219763	220293	-	531	638
P125109_00216	P125109_v1_chr	220321	222795	+	2475	1296
P125109_00217	P125109_v1_chr	222936	225458	+	2523	1794
P125109_00218	P125109_v1_chr	225467	225692	-	226	340
P125109_00219	P125109_v1_chr	225751	227994	+	2244	1212
P125109_00220	P125109_v1_chr	228043	228840	+	798	243
P125109_00221	P125109_v1_chr	228840	229730	+	891	239
P125109_00222	P125109_v1_chr	229727	231784	+	2058	529
P125109_00223	P125109_v1_chr	231821	232027	+	207	110
P125109_00224	P125109_v1_chr	232721	233281	+	561	733
P125109_00225	P125109_v1_chr	233367	236024	+	2658	2640
P125109_00226	P125109_v1_chr	236042	236794	+	753	457
P125109_00227	P125109_v1_chr	236813	237325	+	513	280
P125109_00228	P125109_v1_chr	237322	237798	+	477	13
P125109_00229	P125109_v1_chr	237798	238328	+	531	146
P125109_00230	P125109_v1_chr	238325	239167	+	843	245
P125109_00231	P125109_v1_chr	239159	239256	+	98	10
P125109_00232	P125109_v1_chr	239275	240555	-	1281	0
P125109_00233	P125109_v1_chr	240725	242146	+	1422	715
P125109_00234	P125109_v1_chr	242228	242572	+	345	1
P125109_00235	P125109_v1_chr	242673	243296	-	624	496
P125109_00236	P125109_v1_chr	243333	244133	-	801	162
P125109_00237	P125109_v1_chr	244126	244824	-	699	14
P125109_00238	P125109_v1_chr	244909	246426	+	1518	2748
P125109_00239	P125109_v1_chr	246556	247983	+	1428	919
P125109_00240	P125109_v1_chr	247906	248022	+	117	38
P125109_00241	P125109_v1_chr	248136	249293	+	1158	364
P125109_00242	P125109_v1_chr	249350	252382	-	3033	1737
P125109_00243	P125109_v1_chr	252568	252954	-	387	254
P125109_00244	P125109_v1_chr	253201	254502	+	1302	619
P125109_00245	P125109_v1_chr	254407	254528	+	122	0
P125109_00246	P125109_v1_chr	254539	255363	-	825	19
P125109_00247	P125109_v1_chr	255393	258065	-	2673	34
P125109_00248	P125109_v1_chr	258303	259097	-	795	18
P125109_00249	P125109_v1_chr	259381	259519	+	139	0
P125109_00250	P125109_v1_chr	259548	260273	+	726	0
P125109_00251	P125109_v1_chr	260459	261382	+	924	1
P125109_00252	P125109_v1_chr	261527	262252	+	726	0
P125109_00253	P125109_v1_chr	262399	262956	+	558	0
P125109_00254	P125109_v1_chr	262980	263045	+	66	0
P125109_00255	P125109_v1_chr	263097	264293	+	1197	2
P125109_00256	P125109_v1_chr	264371	264419	+	49	0
P125109_00257	P125109_v1_chr	264606	265364	+	759	0
P125109_00258	P125109_v1_chr	265377	266234	+	858	17
P125109_00259	P125109_v1_chr	266246	267598	+	1353	36
P125109_00260	P125109_v1_chr	267630	270044	+	2415	33
P125109_00261	P125109_v1_chr	270167	270652	+	486	138
P125109_00262	P125109_v1_chr	270656	271681	+	1026	0
P125109_00263	P125109_v1_chr	271787	272242	+	456	0
P125109_00264	P125109_v1_chr	272246	273034	+	789	22
P125109_00265	P125109_v1_chr	273034	274182	+	1149	24
P125109_00266	P125109_v1_chr	274179	274775	+	597	198
P125109_00267	P125109_v1_chr	274799	278281	+	3483	1
P125109_00268	P125109_v1_chr	278294	279253	+	960	0
P125109_00269	P125109_v1_chr	279433	281196	+	1764	337
P125109_00270	P125109_v1_chr	281272	283413	+	2142	526
P125109_00271	P125109_v1_chr	283469	283858	+	390	317
P125109_00272	P125109_v1_chr	283921	285213	+	1293	21
P125109_00273	P125109_v1_chr	285297	285557	-	261	26
P125109_00274	P125109_v1_chr	285544	285744	-	201	52
P125109_00275	P125109_v1_chr	285942	286487	+	546	297
P125109_00276	P125109_v1_chr	286484	286906	+	423	96
P125109_00277	P125109_v1_chr	286938	287639	+	702	385
P125109_00278	P125109_v1_chr	287713	289431	-	1719	1
P125109_00279	P125109_v1_chr	289542	290249	-	708	538
P125109_00280	P125109_v1_chr	290246	290650	-	405	425
P125109_00281	P125109_v1_chr	290769	291584	-	816	296
P125109_00282	P125109_v1_chr	291623	292276	-	654	769
P125109_00283	P125109_v1_chr	292269	293300	-	1032	797
P125109_00284	P125109_v1_chr	293490	294056	+	567	33
P125109_00285	P125109_v1_chr	294430	295967	+	1538	1889
P125109_00286	P125109_v1_chr	296038	296114	+	77	53
P125109_00287	P125109_v1_chr	296226	296301	+	76	77
P125109_00288	P125109_v1_chr	296486	299527	+	3042	2707
P125109_00289	P125109_v1_chr	299727	299837	+	111	40
P125109_00290	P125109_v1_chr	300032	300108	+	77	0
P125109_00291	P125109_v1_chr	300273	301076	+	804	272
P125109_00292	P125109_v1_chr	301097	302011	-	915	164
P125109_00293	P125109_v1_chr	302116	303291	+	1176	362
P125109_00294	P125109_v1_chr	303423	304223	+	801	222
P125109_00295	P125109_v1_chr	304301	305071	+	771	134
P125109_00296	P125109_v1_chr	305127	306347	-	1221	454
P125109_00297	P125109_v1_chr	306566	307321	-	756	134
P125109_00298	P125109_v1_chr	307356	308078	+	723	143
P125109_00299	P125109_v1_chr	308075	308542	-	468	207
P125109_00300	P125109_v1_chr	308597	309337	+	741	3
P125109_00301	P125109_v1_chr	309471	309547	+	77	0
P125109_00302	P125109_v1_chr	309870	310925	-	1056	409
P125109_00303	P125109_v1_chr	310936	311679	-	744	267
P125109_00304	P125109_v1_chr	311736	312008	+	273	449
P125109_00305	P125109_v1_chr	312035	312553	+	519	664
P125109_00306	P125109_v1_chr	312950	313591	+	642	119
P125109_00307	P125109_v1_chr	313534	316830	+	3297	2045
P125109_00308	P125109_v1_chr	316827	317273	+	447	65
P125109_00309	P125109_v1_chr	317339	317596	-	258	97
P125109_00310	P125109_v1_chr	317778	317840	+	63	152
P125109_00311	P125109_v1_chr	318669	318917	+	249	36
P125109_00312	P125109_v1_chr	318722	319039	+	318	23
P125109_00313	P125109_v1_chr	319072	319503	+	432	0
P125109_00314	P125109_v1_chr	319615	319737	+	123	2
P125109_00315	P125109_v1_chr	319877	320098	+	222	1
P125109_00316	P125109_v1_chr	320165	320407	-	243	115
P125109_00317	P125109_v1_chr	320621	320728	+	108	29
P125109_00318	P125109_v1_chr	320954	321232	+	279	112
P125109_00319	P125109_v1_chr	321995	322492	+	498	56
P125109_00320	P125109_v1_chr	322708	323313	+	606	720
P125109_00321	P125109_v1_chr	323337	325847	+	2511	1538
P125109_00322	P125109_v1_chr	325869	326339	+	471	141
P125109_00323	P125109_v1_chr	326747	327568	+	822	420
P125109_00324	P125109_v1_chr	327450	328061	-	612	23
P125109_00325	P125109_v1_chr	327693	327908	+	216	0
P125109_00326	P125109_v1_chr	328049	328180	+	132	49
P125109_00327	P125109_v1_chr	328383	329330	+	948	114
P125109_00328	P125109_v1_chr	329450	329665	+	216	120
P125109_00329	P125109_v1_chr	329669	330388	-	720	1430
P125109_00330	P125109_v1_chr	330719	331126	-	408	356
P125109_00331	P125109_v1_chr	331436	332203	-	768	179
P125109_00332	P125109_v1_chr	332312	334756	-	2445	1096
P125109_00333	P125109_v1_chr	334996	335574	+	579	33
P125109_00334	P125109_v1_chr	335787	336554	+	768	552
P125109_00335	P125109_v1_chr	336525	337265	-	741	183
P125109_00336	P125109_v1_chr	337515	338570	+	1056	1447
P125109_00337	P125109_v1_chr	338675	338722	+	48	26
P125109_00338	P125109_v1_chr	338789	339928	+	1140	1142
P125109_00339	P125109_v1_chr	339925	340539	+	615	244
P125109_00340	P125109_v1_chr	340694	342151	-	1458	317
P125109_00341	P125109_v1_chr	342400	342858	+	459	189
P125109_00342	P125109_v1_chr	342947	344191	+	1245	814
P125109_00343	P125109_v1_chr	344249	344650	+	402	314
P125109_00344	P125109_v1_chr	344701	345753	-	1053	798
P125109_00345	P125109_v1_chr	346036	347139	+	1104	528
P125109_00346	P125109_v1_chr	347151	348398	+	1248	341
P125109_00347	P125109_v1_chr	348514	348589	+	76	0
P125109_00348	P125109_v1_chr	348753	349022	+	270	32
P125109_00349	P125109_v1_chr	349035	349436	+	402	148
P125109_00350	P125109_v1_chr	349361	349660	-	300	27
P125109_00351	P125109_v1_chr	349727	350095	+	369	162
P125109_00352	P125109_v1_chr	350040	350168	+	129	58
P125109_00353	P125109_v1_chr	350302	350601	+	300	84
P125109_00354	P125109_v1_chr	350949	352181	+	1233	525
P125109_00355	P125109_v1_chr	352313	353734	+	1422	892
P125109_00356	P125109_v1_chr	353736	354362	+	627	80
P125109_00357	P125109_v1_chr	354377	355255	+	879	93
P125109_00358	P125109_v1_chr	355255	356169	+	915	404
P125109_00359	P125109_v1_chr	356177	356256	+	80	0
P125109_00360	P125109_v1_chr	356203	357168	+	966	442
P125109_00361	P125109_v1_chr	357113	357385	-	273	124
P125109_00362	P125109_v1_chr	358077	358475	+	399	11
P125109_00363	P125109_v1_chr	358522	359280	-	759	571
P125109_00364	P125109_v1_chr	359246	360571	-	1326	1331
